id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
0,249.99,Yes,New,USD,USA,Yamaha,"Mini Hi-Fi Systems,Home Audio,TVs Entertainment,Tabletop Audio,Audio,Stereo Shelf Systems","audio, shelf, tabletop",Electronics,Yamaha - Micro Component System - Blue,5.5791816,5.5254,yamaha,249.99,243.91588299563122,5.5009
1,64.0,Yes,New,USD,USA,Monster,"TV, Video & Home Audio,TV Cables & Connectors,Frys,Electronics,TV, Video & Audio Accessories,TV & Home Theater,Cables,Consumer Electronics,TV & Video,TV Accessories,Video Cables,TV & Home Theater Accessories,A/V Cables & Connectors,HDMI Cables,Video Cables & Interconnects","cable, tv, theater",Electronics,Monster - Black Platinum Line 9' 4K Ultra HD In-Wall HDMI Cable - Black,4.7173568,4.1744,monster,64.0,181.92204824998797,5.209
2,69.99,Yes,New,USD,USA,Lowepro,"Camera Accessories,Digital Camera Accessories,Camera Bags & Cases,Electronics,Camera Backpacks,Camera & Photo,Camera Cases,Cameras & Camcorders,Photography,Camera Bags,Photography Bags Cases,Backpacks,Camera Bags, Cases & Straps,Bags & Cases","camera, bag",Electronics,Photo Hatchback Series BP 150 AW II Backpack (Black/Gray),0.8164656,4.2625,lowepro,65.4033,135.59609787688316,4.917
3,111.23,Yes,New,USD,USA,Lowepro,"Camera Drone Parts & Accs,Camera Accessories,Drone Accessories,Cameras & Photo,DJI Accessories,Camera Bags & Cases,Frys,Electronics,Camera & Photo,Drone Bags & Cases,Cameras & Camcorders,Drones Aerial Imaging,Camcorders,Drones & Drone Accessories,Camera Drones,Drone Aerial Accessories,Drones, Toys & Collectibles,Bags & Cases,Camcorder Cases","camera, bag",Electronics,DroneGuard CS 400,2.1772416,4.7205,lowepro,65.4033,135.59609787688316,4.917
4,14.99,Yes,New,USD,USA,Manfrotto,"Photography,Photography Bags Cases,Camera Bags,Shoulder Bags,Electronics,Camera Cases,Cameras & Photo,Camera & Photo Accessories,Cases, Bags & Covers,Digital Camera Accessories","camera, bag",Electronics,Stile Collection Bella IV Shoulder Bag (Black),0.34926584,2.772,manfrotto,65.4033,135.59609787688316,4.917
5,68.99,Yes,New,USD,USA,Bower,"Electronics,Cameras & Camcorders,Camera Accessories,Other Camera Accessories,Digital Camera Accessories,Camera Batteries & Power,Battery Grips,Computers Features,Camera & Photo Features,Accessories","camera, camcorder, action",Electronics,Energizer Nikon D5100/3100 Battery Grip,4.3544832,4.2483,bower,202.4775,215.28590690976353,5.3766
6,259.0,Yes,New,USD,USA,360fly,"Cameras & Photo,360 Cameras,VR 360 Video,Camcorders,Video,Electronics,Camera & Photo,All 360 Video Cameras,Action Camcorders,Shop Cameras by Type,Sports & Action Video Cameras,Cameras & Camcorders","camera, camcorder, action",Electronics,4K Video Camera,2.721552,5.5606,360fly,202.4775,215.28590690976353,5.3766
7,456.93,Yes,New,USD,USA,GoPro,"Action Cameras,See more GoPro HERO 6 Action Camera - Black,Digital Cameras,Cameras & Photo,GoPro Cameras & Accessories,Electronics,Sports Action Cameras,Electronics Deals,Camera & Photo,Cameras & Camcorders,Drones Aerial Imaging,Action Cams,Aerial Imaging Platforms Drones,Action Cameras Accessories,Camcorders,Video,Camcorders wqctvrrvbybxwsxf,Action Camcorders,Camcorders xebzybxxraaabbydax,Sports & Action Video Cameras,Camcorders dyzzuezbyurvadvzxycvzerrvztrredf","camera, camcorder, action",Electronics,GoPro HERO6 Black Camera,1.9050864,6.1267,gopro,202.4775,215.28590690976353,5.3766
8,24.99,Yes,New,USD,USA,Gopro,"Straps & Hand Grips,Camera & Photo Accessories,GoPro Accessories,Action Camcorder Mounts,Cameras & Photo,Electronics,Straps,Computers Features,Professional Video Accessories,Cameras & Camcorders,Camera Chest Supports,Featured Brands,See more GoPro The Strap (hand Wrist Arm Leg Mount),Action Cameras Accessories,Camcorders,Name Brands,GoPro Camera Accessories,Action Cam Mounts,Camcorder Accessories,GoPro Cameras & Accessories,Frys,Camera & Camcorder Accessories,Electronics Deals,Video Accessories,Other Photo Accessories,Wearable On-Body Mounts,Bags, Cases & Straps,Other GoPro Accessories,Video,Gopro,Cameras,Action Camcorder Accessories,Photo Accessories","camera, camcorder, action",Electronics,Genuine GoPro The Strap (Hand + Wrist + Arm + Leg Mount),2.454386312,3.2577,gopro,202.4775,215.28590690976353,5.3766
9,714.95,Yes,New,USD,USA,Sony,"Digital Cameras,Cameras & Photo,Electronics Features,Mirrorless System Cameras,Electronics,All Mirrorless Cameras,Computers Features,Camera & Photo,Interchangeable Lens Cameras,Cameras & Camcorders,Photography,Mirrorless System Cameras dxvaycaabr,Mirrorless Cameras","camera, mirrorless",Electronics,Alpha a5100 Mirrorless Digital Camera with 16-50mm Lens Deluxe Kit (Black),4.52684816,6.5736,sony,563.644,471.42904498258355,6.1578
